fact_id,brand,fact_type,product,client_safe_text,risk_level,freshness_status,valid_from,valid_until,bot_template_required,usage_mode,refresh_before_launch
fact:v3:foton:academic_year_2026_27_start_by_location_online:a9d4c65225,foton,course_parameter,academic_year_2026_27,"Фотон: учебный год 2026/27, онлайн — 19-20 сентября 2026.",low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489,foton,course_parameter,academic_year_2026_27,"Фотон: учебный год 2026/27, количество занятий за год — 35 занятий.",low,document_verified,,2027-08-31,True,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_schedule_level_split_parallel_groups_client_safe_text:937fa33076,foton,course_parameter,kb_v6_6_client_safe_facts_2026_06_08,"Фотон: если по расписанию написано «уточняется», это потому что группы делятся по уровню знаний. Возможно, предложим другую группу; постараемся сохранить удобное время, потому что групп в параллели много.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_study_pause_flexible_schedule_personal_client_safe_text:9dade3258d,foton,course_parameter,kb_v6_6_client_safe_facts_2026_06_08,Фотон: при личных обстоятельствах можно заморозить обучение или подобрать гибкий график.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:r4_1_owner_2026_06_12_foton_schedule_timezone_msk:32837c23f6,foton,course_parameter,regular_courses_2026_27,"Время всех занятий указано по московскому времени (МСК) — и онлайн, и очных.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:owner_2026_08_13_foton_discount_multichild:96fc7f35e5,foton,discount,regular_courses_2026_27,"Фотон: скидка 10%, если в семье занимаются несколько детей.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_discount_second_subject_offline:2e9c553a61,foton,discount,regular_courses_2026_27,Фотон: скидка 20% на второй и последующие предметы при очном обучении.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_discount_second_subject_online:13a98e9a77,foton,discount,regular_courses_2026_27,Фотон: скидка 30% на второй и последующие предметы при онлайн-обучении.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_referral_offline:140526f5ed,foton,discount,regular_courses_2026_27,Фотон: по реферальной программе выплачивается 10 000 руб. после пяти оплаченных очных занятий приглашённого ученика.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_referral_online:44ca2e703e,foton,discount,regular_courses_2026_27,Фотон: по реферальной программе выплачивается 10 000 руб. после оплаты приглашённым учеником семестра онлайн-обучения.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:bot_policy_approved_phrases_theme_11_contract_foton:faa8cea3e9,foton,documents,theme_11_contract,"Договор-оферта придёт на почту вместе с квитанцией после записи; оплата означает согласие. Подскажите, пожалуйста, email для отправки.",medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:bot_policy_approved_phrases_theme_12_certificate_foton:9cb86dfb75,foton,documents,theme_12_certificate,"Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше.",medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:certificates_types_course_attendance_form:163d7bd5dc,foton,documents,certificates,Фотон: справки и документы — Свободная форма.,medium,document_verified,,2026-12-31,True,answer_source,False
fact:v3:foton:licenses_client_safe_summary:38197fc2ca,foton,documents,licenses,Фотон: у учебного центра есть лицензия на образовательную деятельность.,medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_contract_documents:e36c0da02d,foton,documents,customer_processes_2026_06_10,"Договор идёт через договор-оферту: оплата означает согласие с условиями. Отдельный подписанный договор обычно не нужен, кроме отдельных случаев вроде маткапитала.",medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_1_owner_2026_06_12_foton_regular_group_size:37731c44c1,foton,format,regular_courses_2026_27,"Очные группы — от 3 до 12 человек, обычно 7-8. Онлайн-группы — 10-20 человек, обычно 12-15.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_owner_2026_06_11_foton_lesson_duration_by_format:160fe36060,foton,format,regular_courses_2026_27,Длительность зависит от формата: в выходных группах 5–11 классов — 1 занятие в неделю по 3 ак.ч.; в группах 1–4 классов — 1 занятие в неделю по 2 ак.ч.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_owner_2026_06_11_foton_small_groups_personal_attention:1c89d3518f,foton,format,regular_courses_2026_27,Регулярные курсы проходят в небольших группах; преподаватель уделяет персональное внимание каждому ученику.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:intensives_2026_ege_intensive_available_in_foton:46dd713903,foton,intensive,intensives_2026,Фотон: этот интенсив в текущем бренде не проводится.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:intensives_2026_ege_intensive_bot_behavior_when_asked:4cce7b3aa7,foton,intensive,intensives_2026,Фотон: по вопросу об интенсиве менеджер подберёт подходящие варианты и свяжется в течение рабочего дня.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:locations_foton_addresses_1_address:0dea48e4cb,foton,location,locations_foton,"Фотон: адрес и место занятий — Верхняя Красносельская ул., 30.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:locations_foton_addresses_1_city:7a77d6f071,foton,location,locations_foton,Фотон: адрес и место занятий — Москва.,low,document_verified,,2026-12-31,True,manager_review_required,False
fact:v3:foton:locations_foton_addresses_1_metro:e91a0a9d1d,foton,location,locations_foton,Фотон: адрес и место занятий — Красносельская.,low,document_verified,,2026-12-31,True,manager_review_required,False
fact:v3:foton:locations_foton_free_trial_offline_client_safe_text:c7c7eabe19,foton,location,locations_foton,"Отдельного бесплатного пробного очного по умолчанию нет; менеджер при записи подскажет, как познакомиться с форматом.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:locations_foton_free_trial_offline_currently_unavailable_in_foton:0a8d8425ce,foton,location,locations_foton,"Фотон: адрес и место занятий, очно — да.",low,document_verified,,2026-12-31,True,manager_review_required,False
fact:v3:foton:brand_rules_approved_brand_relationship_answer_foton:dcd03f90c3,foton,policy,brand_relationship,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:presentation_format_facts_2026_05_21_client_safe_facts_refund_post_payment_client_safe_text:6632ae12a2,foton,policy,presentation_format_facts_2026_05_21,"По возврату после оплаты нужен расчёт менеджера: он проверит курс, период, оплату и условия договора и назовёт точную сумму.",medium,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:presentation_format_facts_2026_05_21_client_safe_facts_refund_presale_policy_client_safe_text:27d108bcda,foton,policy,presentation_format_facts_2026_05_21,"Если клиент заранее спрашивает про возврат до оплаты, можно спокойно ответить, что при досрочном отказе возвращается остаток неистраченных средств; можно не переживать. Конкретный порядок оформления менеджер подтвердит по выбранному курсу и договору.",medium,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:r4_1_owner_2026_06_12_foton_funds_transfer_and_makeup:319e3650ca,foton,policy,payment_and_attendance,"Оплаченные средства не сгорают: остаток переносится на следующий период, год или смену. Пропущенное по справке занятие можно перенести или вернуть за него деньги. Перенос между предметами или форматами — по согласованию с менеджером.",medium,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:r4_1_owner_2026_06_12_foton_university_target_and_open_days:d4a216c97c,foton,policy,university_information,"Информацию о целевом обучении и днях открытых дверей рекомендуем посмотреть на сайте вуза, в который вы хотите поступать.",medium,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:owner_2026_08_13_foton_lvsh_2027_august_current_price:1cd44e0c2c,foton,price,lvsh_2027,Фотон: августовская ЛВШ 2027 сейчас стоит 89 100 руб.; полная цена — 99 000 руб.,low,document_verified,2026-08-13,2027-08-22,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_lvsh_2027_june_current_price:762cbfc029,foton,price,lvsh_2027,Фотон: июньская ЛВШ 2027 сейчас стоит 99 450 руб.; полная цена — 110 500 руб.,low,document_verified,2026-08-13,2027-06-30,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_first_4_weeks_new_student:d3121ec6c0,foton,price,regular_courses_2026_27,Фотон: первые 4 недели для нового ученика — 8 900 руб.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_first_4_weeks_standard:ae337e419e,foton,price,regular_courses_2026_27,Фотон: обычная стоимость первых 4 недель — 11 400 руб.,low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_offline_3_4_semester:72d1d65208,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы очно, 3-4 классы, семестр — 35 500 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_offline_3_4_year:2d2c8fdbc8,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы очно, 3-4 классы, год — 59 500 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_offline_5_11_semester:a496523ec0,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы очно, 5-11 классы, семестр — 49 500 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_offline_5_11_year:35392b3042,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы очно, 5-11 классы, год — 83 500 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_online_3_4_semester:2e6919f025,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы онлайн, 3-4 классы, семестр — 23 800 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_online_3_4_year:04b7a6ad6e,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы онлайн, 3-4 классы, год — 39 900 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_online_5_11_semester:09a6220f86,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы онлайн, 5-11 классы, семестр — 34 200 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:owner_2026_08_13_foton_regular_online_5_11_year:76e538f95f,foton,price,regular_courses_2026_27,"Фотон: регулярные курсы онлайн, 5-11 классы, год — 57 000 руб.",low,document_verified,2026-08-13,2027-05-31,False,answer_source,True
fact:v3:foton:processes_2026_06_10_foton_absences_materials:2ecd6fd301,foton,process,customer_processes_2026_06_10,"Если занятие пропущено, предупредите нас заранее. Онлайн-записи и материалы помогают нагнать тему; по очным занятиям материалы можно уточнить в чате группы или у администратора.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_after_payment_access:0df09e88c4,foton,process,customer_processes_2026_06_10,"После оплаты пришлите чек или квитанцию в чат или на почту. После подтверждения оплаты для онлайн-занятий на почту придёт приглашение на учебную платформу и инструкция по подключению; с лета 2026 новые онлайн-занятия проходят на SohoLMS, а курсы, начавшиеся до лета 2026, завершаются в MTS-Link. Для очных занятий пришлём информацию о центре, группе и расписании.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_completion_certificate:48555bc7a1,foton,process,customer_processes_2026_06_10,"По итогам курса можно получить документ о прохождении обучения. Формат и срок выдачи зависят от программы; менеджер подскажет, как получить документ.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_document_correction:e9be293521,foton,process,customer_processes_2026_06_10,"Если в договоре, квитанции или письме ошибка, напишите, что именно нужно исправить. Менеджер подготовит корректный документ и пришлёт его на почту.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_enrollment_signup_steps:80d620a0d5,foton,process,customer_processes_2026_06_10,"Для записи пришлите ФИО ученика и класс, ФИО родителя, почту для связи и выбранное направление. После записи на почту придут подтверждение, договорные документы и способ оплаты.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_freeze_or_transfer:76ca95c66f,foton,process,customer_processes_2026_06_10,"При личных обстоятельствах можно обсудить перенос обучения, смену группы или более гибкий график. Точные условия зависят от курса и ситуации, их подтвердит менеджер.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_group_level_transfer:d2447f1861,foton,process,customer_processes_2026_06_10,"Если ребёнку слишком легко или сложно, можно обсудить перевод в другую группу по уровню. Обычно учитываются рекомендация преподавателя и пожелания семьи.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_homework_feedback:18e8e92235,foton,process,customer_processes_2026_06_10,Домашние задания проверяются. Обратную связь по успеваемости можно запросить: менеджер передаст вопрос преподавателю или куратору.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:processes_2026_06_10_foton_marketing_codes_absent:28ff4d7f3f,foton,process,customer_processes_2026_06_10,Промокодов сейчас нет. Из реальных выгод: при оплате за семестр или за год выходит выгоднее — это уже учтено в прайсе.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_online_access_platform:280f8b3014,foton,process,customer_processes_2026_06_10,"Для онлайн-занятий доступ приходит на почту: приглашение, ссылка на платформу и инструкция по подключению. С лета 2026 новые онлайн-занятия проходят на SohoLMS; курсы, начавшиеся до лета 2026, завершаются в MTS-Link. Для очных занятий пришлём информацию о центре, группе и расписании.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_parent_feedback:798f45dfce,foton,process,customer_processes_2026_06_10,Родитель может запросить обратную связь по занятиям и прогрессу. Менеджер передаст запрос преподавателю или куратору и вернётся с ответом.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:processes_2026_06_10_foton_payment_confirmation_receipt:c287dd9d1c,foton,process,customer_processes_2026_06_10,"После оплаты пришлите чек или квитанцию. Если платёж был, но доступ не пришёл, менеджер проверит оплату по ФИО ученика и выбранному курсу.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:processes_2026_06_10_foton_payment_general:a0cb8f7883,foton,process,customer_processes_2026_06_10,"Оплатить можно по QR-коду, квитанции или ссылке на оплату. Если нужно оплатить бизнес-картой, можем прислать ссылку через эквайринг Альфа-Банка.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_payment_semester_year_price:9c3e0d1b92,foton,process,customer_processes_2026_06_10,При оплате за семестр или за год выходит выгоднее — это уже учтено в прайсе.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_personal_cabinet:8a8fdc5709,foton,process,customer_processes_2026_06_10,"В личном кабинете учебной платформы доступны занятия, материалы и записи онлайн-уроков. С лета 2026 новые онлайн-занятия проходят на SohoLMS; курсы, начавшиеся до лета 2026, завершаются в MTS-Link. Если пароль забыт, его восстанавливают через форму восстановления.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_recordings_materials:f9d3e0676e,foton,process,customer_processes_2026_06_10,"Записи онлайн-занятий сохраняются в личном кабинете для пересмотра. Домашние задания и материалы доступны на платформе или в чате группы, в зависимости от формата курса.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_refund_process_manager_check:5a303f02e0,foton,process,customer_processes_2026_06_10,До оплаты можно спокойно уточнить порядок возврата: при досрочном отказе возвращается остаток неистраченных средств. После оплаты точную сумму и документы проверяет менеджер.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:processes_2026_06_10_foton_schedule_final:ceed6f1235,foton,process,customer_processes_2026_06_10,"Финальное расписание уже есть. Напишите класс, предмет, формат и удобное время — подберём группу и пришлём актуальные варианты.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_schedule_reason:53f72c720b,foton,process,customer_processes_2026_06_10,"Точные слоты пришлём после распределения по уровню группы. Стараемся учитывать класс, формат и пожелания по времени.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_teacher_change:ea84bee144,foton,process,customer_processes_2026_06_10,"Если преподаватель или группа не подошли, можно обсудить другую группу или другого преподавателя. Методика и программа сохраняются, а переход согласуют по уровню и расписанию.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_technical_problem:e7be5ee9a2,foton,process,customer_processes_2026_06_10,"Если письмо, квитанция или ссылка не пришли, проверьте папку «Спам» и напишите нам. Менеджер проверит группу и отправит актуальную ссылку или письмо повторно.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:processes_2026_06_10_foton_testing_intro:92ee3cb7e6,foton,process,customer_processes_2026_06_10,Вступительное тестирование помогает подобрать подходящую группу по уровню. Обычно ребёнок проходит тест и заполняет анкету до старта занятий.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_testing_results:b6cc9df715,foton,process,customer_processes_2026_06_10,Результаты тестирования используют для распределения по уровню и группе. Итоговое распределение сообщит менеджер.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:processes_2026_06_10_foton_waitlist_when_no_places:8cdff3a94a,foton,process,customer_processes_2026_06_10,"Если подходящей группы, времени или места сейчас нет, можно записаться в лист ожидания. Укажем приоритетные предметы и формат, а менеджер подскажет ближайшую альтернативу.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_1_owner_2026_06_12_foton_acquaintance_mechanics:13be05d5ce,foton,process,trial_and_acquaintance,"Для знакомства с форматом можно посмотреть фрагмент онлайн-занятия. Первые занятия можно использовать, чтобы понять, подходит ли курс. При сомнениях можно бесплатно посетить пробное занятие в другой группе — по согласованию с менеджером. Постоянного бесплатного формата нет.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_1_owner_2026_06_12_foton_midyear_entry_payment_and_records:61908edaa2,foton,process,regular_courses_2026_27,Присоединиться можно в течение года. Оплата по семестрам: при записи до конца календарного 2026 года — полная стоимость; с января — 50% полной стоимости курса. Пройденный материал доступен в записях. Заявление на перерасчёт не требуется.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_1_owner_2026_06_12_foton_organization_payment_invoice:70de4a3393,foton,process,payment_methods,Можно оплатить от организации: выставим счёт. Понадобится заключить договор и прислать карточку организации. Две квитанции на два предмета — можно.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_owner_2026_06_11_foton_center_visit_by_appointment:813095a701,foton,process,contacts_and_visits,Визит в центр Фотона организуем по предварительной записи: подберём время и сотрудника филиала для встречи.,low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_owner_2026_06_11_foton_midyear_new_student_curator_support:0d82e9a8b3,foton,process,regular_courses_2026_27,"Куратор следит, чтобы ученики комфортно и успешно осваивали программу — и в очных филиалах, и в онлайн-группах.",low,document_verified,,2026-12-31,False,answer_source,False
fact:v3:foton:r4_owner_2026_06_11_foton_online_platform_transition:fcaf1d7d0d,foton,process,online_platform_2026,"С лета 2026 онлайн-занятия проходят на платформе SohoLMS. Курсы, начавшиеся до лета 2026, завершаются в MTS-Link.",low,document_verified,,2027-08-31,False,answer_source,False
fact:v3:foton:kb_v6_5_client_safe_facts_2026_06_03_lesson_format_client_safe_text:45828c3f85,foton,program,kb_v6_5_client_safe_facts_2026_06_03,"Занятия проходят в формате семинара: теория и практика вместе. Преподаватель в мини-группе разбирает задачи с учениками, есть интерактив с вопросами. Бывает этап индивидуальной работы: пока все решают свои задания, преподаватель подходит к каждому на несколько минут.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_attendance_makeup_other_group_client_safe_text:e673afccdc,foton,program,kb_v6_6_client_safe_facts_2026_06_08,"Фотон: пропущенное занятие можно отработать в другой группе, подходящей по времени и уровню; тема занятия может отличаться. Справка для отработки не обязательна.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_attendance_online_instead_offline_exception_2026_27_client_safe_text:caf1a6b385,foton,program,kb_v6_6_client_safe_facts_2026_06_08,Фотон: подключиться к онлайн-занятию вместо очного нельзя; исключение — пропуск 4 и более занятий подряд по болезни.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_entrance_test_results_delivery_client_safe_text:03d369f217,foton,program,kb_v6_6_client_safe_facts_2026_06_08,Фотон: результаты вступительного теста появляются в той же тестовой форме в течение недели; по запросу вышлем их вручную.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_homework_check_always_checked_client_safe_text:6097b27e69,foton,program,kb_v6_6_client_safe_facts_2026_06_08,Фотон: домашние задания всегда проверяются.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_materials_handouts_default_client_safe_text:af494216a3,foton,program,kb_v6_6_client_safe_facts_2026_06_08,"Фотон: раздаточных конспектов по умолчанию нет: есть чат с преподавателем для домашних заданий и материалов, на части курсов — методички.",low,document_verified,,2026-12-31,True,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_first_lesson_diagnostic_check_client_safe_text:0946974a13,foton,program,kb_v6_6_client_safe_facts_2026_06_08,Фотон: на первом очном занятии возможна устная беседа или небольшая контрольная; с собой лучше взять решения вступительного теста.,low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_groups_levels_client_safe_text:0b5bcd0df2,foton,program,kb_v6_6_client_safe_facts_2026_06_08,"Фотон: очные группы делятся по уровням: базовый, продвинутый и олимпиадный. Разница — в темпе, сложности задач и времени на повторение.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_phys_tech_no_separate_groups_foton_2026_27_client_safe_text:cf2c7cd2c2,foton,program,kb_v6_6_client_safe_facts_2026_06_08,"Фотон: отдельных очных групп «Физтех» нет — олимпиадные группы идут внутри общего расписания. Продвинутые и базовые группы отличаются темпом, сложностью задач и временем на повторение; планы по темам почти одинаковые.",low,document_verified,,2026-12-31,False,manager_review_required,False
fact:v3:foton:objection_responses_brand_link_question_approved_response:4054dd4bc6,foton,program,objection_responses,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_brand_link_question_followup_phrase:700227ca83,foton,program,objection_responses,"Я могу подсказать только про ЦДПО Фотон и, к сожалению, не владею информацией про другие организации.",low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_inconvenient_time_1:059cef1760,foton,program,objection_responses,Разные слоты выходных.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_inconvenient_time_2:d3a769acb5,foton,program,objection_responses,Онлайн с записью.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_is_it_bot:b000a32ca7,foton,program,objection_responses,"Я помощник менеджера, помогу с вопросом или передам коллеге.",low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_too_expensive_course_1:1112ab5685,foton,program,objection_responses,20% на 2-й предмет очно или 30% онлайн.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_too_expensive_course_2:61d1971870,foton,program,objection_responses,Многодетным 10%.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:objection_responses_too_expensive_course_4:bb1daf584f,foton,program,objection_responses,Можно рассрочка через Т-Банк.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:online_platform_levels_1:1b8b64ca05,foton,program,online_platform,Фотон: на онлайн-платформе есть уровень обучения: базовый.,low,document_verified,,2027-08-31,False,manager_review_required,False
